date;cota;idex;r_cota;r_cota2;var;cvar;r_idex;beta_idex;beta_idex_pvalue
11/11/2024;1,000385;1,91610589;NA;NA;NA;-0,000289449;NA;0,13693277;1,46E-05
12/11/2024;1,00202198;1,91719318;1,00163635;0,00163635;NA;-0,000289449;1,000567448;0,13693277;1,46E-05
13/11/2024;1,00266107;1,91835449;1,0006378;0,0006378;NA;-0,000289449;1,000605734;0,13693277;1,46E-05
14/11/2024;1,00335398;1,9192752;1,000691071;0,000691071;NA;-0,000289449;1,000479948;0,13693277;1,46E-05
18/11/2024;1,00391197;1,92049184;1,000556125;0,000556125;NA;-0,000289449;1,000633906;0,13693277;1,46E-05
19/11/2024;1,00444225;1,91876274;1,000528214;0,000528214;NA;-0,000289449;0,999099658;0,13693277;1,46E-05
21/11/2024;1,00477306;1,91997849;1,000329347;0,000329347;NA;-0,000289449;1,000633611;0,13693277;1,46E-05
22/11/2024;1,00522729;1,92080614;1,000452072;0,000452072;NA;-0,000289449;1,000431073;0,13693277;1,46E-05
25/11/2024;1,00568062;1,92207276;1,000450973;0,000450973;NA;-0,000289449;1,000659421;0,13693277;1,46E-05
26/11/2024;1,00627399;1,92322429;1,000590018;0,000590018;NA;-0,000289449;1,000599108;0,13693277;1,46E-05
27/11/2024;1,00654848;1,9232814;1,000272779;0,000272779;NA;-0,000289449;1,000029695;0,13693277;1,46E-05
28/11/2024;1,00688848;1,92371751;1,000337788;0,000337788;NA;-0,000289449;1,000226753;0,13693277;1,46E-05
29/11/2024;1,0074729;1,92464256;1,000580422;0,000580422;NA;-0,000289449;1,000480866;0,13693277;1,46E-05
02/12/2024;1,00811836;1,9249409;1,000640672;0,000640672;NA;-0,000289449;1,000155011;0,13693277;1,46E-05
03/12/2024;1,0086416;1,92535934;1,000519026;0,000519026;NA;-0,000289449;1,000217378;0,13693277;1,46E-05
04/12/2024;1,00898914;1,92673774;1,000344562;0,000344562;NA;-0,000289449;1,000715918;0,13693277;1,46E-05
05/12/2024;1,00935682;1,92765684;1,000364404;0,000364404;NA;-0,000289449;1,000477024;0,13693277;1,46E-05
06/12/2024;1,00967114;1,92782475;1,000311406;0,000311406;NA;-0,000289449;1,000087106;0,13693277;1,46E-05
09/12/2024;1,01003948;1,92571814;1,000364812;0,000364812;NA;-0,000289449;0,998907261;0,13693277;1,46E-05
10/12/2024;1,01040964;1,92639256;1,000366481;0,000366481;NA;-0,000289449;1,000350217;0,13693277;1,46E-05
11/12/2024;1,01111468;1,92716491;1,000697776;0,000697776;0,000309475;-0,000289449;1,000400931;0,13693277;1,46E-05
12/12/2024;1,01164762;1,92805742;1,000527082;0,000527082;0,000311406;-0,000289449;1,000463121;0,13693277;1,46E-05
13/12/2024;1,01218644;1,928661;1,000532616;0,000532616;0,000311406;-0,000289449;1,000313051;0,13693277;1,46E-05
16/12/2024;1,01289947;1,92916706;1,000704445;0,000704445;0,000311406;-0,000289449;1,000262389;0,13693277;1,46E-05
17/12/2024;1,01334244;1,92834309;1,000437329;0,000437329;0,000311406;-0,000289449;0,999572888;0,13693277;1,46E-05
18/12/2024;1,01350447;1,92867285;1,000159897;0,000159897;0,000272779;-0,000289449;1,000171007;0,13693277;1,46E-05
19/12/2024;1,01351504;1,92266042;1,000010429;1,04E-05;0,000159897;-0,000289449;0,996882608;0,13693277;1,46E-05
20/12/2024;1,01346733;1,91545012;0,999952926;-4,71E-05;1,04E-05;-0,000289449;0,996249832;0,13693277;1,46E-05
23/12/2024;1,01351172;1,91337026;1,0000438;4,38E-05;1,04E-05;-0,000289449;0,998914166;0,13693277;1,46E-05
24/12/2024;1,01391094;1,91443263;1,000393898;0,000393898;1,04E-05;-0,000289449;1,000555235;0,13693277;1,46E-05
26/12/2024;1,01411625;1,91290518;1,000202493;0,000202493;1,04E-05;-0,000289449;0,99920214;0,13693277;1,46E-05
27/12/2024;1,01449274;1,91444258;1,000371249;0,000371249;1,04E-05;-0,000289449;1,000803699;0,13693277;1,46E-05
30/12/2024;1,01549594;1,91553856;1,000988869;0,000988869;1,04E-05;-0,000289449;1,00057248;0,13693277;1,46E-05
31/12/2024;1,01628726;1,91660577;1,000779245;0,000779245;1,04E-05;-0,000289449;1,000557133;0,13693277;1,46E-05
02/01/2025;1,0167963;1,91789948;1,000500882;0,000500882;1,04E-05;-0,000289449;1,000675001;0,13693277;1,46E-05
03/01/2025;1,01726864;1,91957394;1,000464537;0,000464537;1,04E-05;-0,000289449;1,00087307;0,13693277;1,46E-05
06/01/2025;1,01788647;1,92150037;1,000607342;0,000607342;1,04E-05;-0,000289449;1,001003572;0,13693277;1,46E-05
07/01/2025;1,018389;1,92356954;1,000493699;0,000493699;1,04E-05;-0,000289449;1,001076851;0,13693277;1,46E-05
08/01/2025;1,01874192;1,92500822;1,000346547;0,000346547;1,04E-05;-0,000289449;1,000747922;0,13693277;1,46E-05
09/01/2025;1,0193087;1,92705706;1,000556353;0,000556353;1,04E-05;-0,000289449;1,001064328;0,13693277;1,46E-05
10/01/2025;1,0198016;1,92871375;1,000483563;0,000483563;1,04E-05;-0,000289449;1,0008597;0,13693277;1,46E-05
13/01/2025;1,02021142;1,92957422;1,000401862;0,000401862;1,04E-05;-0,000289449;1,000446137;0,13693277;1,46E-05
14/01/2025;1,02061852;1,93137966;1,000399035;0,000399035;1,04E-05;-0,000289449;1,000935668;0,13693277;1,46E-05
15/01/2025;1,02148915;1,93285699;1,000853042;0,000853042;1,04E-05;-0,000289449;1,000764909;0,13693277;1,46E-05
16/01/2025;1,02194415;1,93469387;1,000445428;0,000445428;1,04E-05;-0,000289449;1,000950344;0,13693277;1,46E-05
17/01/2025;1,0224397;1,93328402;1,000484909;0,000484909;1,04E-05;-0,000289449;0,99927128;0,13693277;1,46E-05
20/01/2025;1,02295381;1,93755558;1,000502827;0,000502827;1,04E-05;-0,000289449;1,002209484;0,13693277;1,46E-05
21/01/2025;1,0235526;1,93921972;1,000585354;0,000585354;4,38E-05;-0,000289449;1,000858886;0,13693277;1,46E-05
22/01/2025;1,02411069;1,9407017;1,000545248;0,000545248;0,000202493;-0,000289449;1,000764215;0,13693277;1,46E-05
23/01/2025;1,02450534;1,94265152;1,000385359;0,000385359;0,000346547;-0,000289449;1,001004698;0,13693277;1,46E-05
24/01/2025;1,02509786;1,943932;1,000578347;0,000578347;0,000346547;-0,000289449;1,00065914;0,13693277;1,46E-05
27/01/2025;1,02560808;1,94537295;1,000497728;0,000497728;0,000371249;-0,000289449;1,000741255;0,13693277;1,46E-05
28/01/2025;1,02620473;1,94712605;1,000581752;0,000581752;0,000385359;-0,000289449;1,000901164;0,13693277;1,46E-05
29/01/2025;1,02676277;1,94836607;1,00054379;0,00054379;0,000385359;-0,000289449;1,000636846;0,13693277;1,46E-05
30/01/2025;1,027343;1,94949264;1,000565106;0,000565106;0,000385359;-0,000289449;1,000578213;0,13693277;1,46E-05
31/01/2025;1,02796908;1,95092046;1,000609417;0,000609417;0,000385359;-0,000289449;1,000732406;0,13693277;1,46E-05
03/02/2025;1,02854759;1,95136998;1,00056277;0,00056277;0,000385359;-0,000289449;1,000230414;0,13693277;1,46E-05
04/02/2025;1,02897513;1,95313601;1,000415674;0,000415674;0,000385359;-0,000289449;1,000905021;0,13693277;1,46E-05
05/02/2025;1,02957143;1,95491866;1,000579509;0,000579509;0,000385359;-0,000289449;1,000912712;0,13693277;1,46E-05
06/02/2025;1,03000151;1,95632366;1,000417727;0,000417727;0,000399035;-0,000289449;1,0007187;0,13693277;1,46E-05
07/02/2025;1,03048911;1,95753613;1,000473397;0,000473397;0,000399035;-0,000289449;1,00061977;0,13693277;1,46E-05
10/02/2025;1,03103055;1,95894147;1,00052542;0,00052542;0,000399035;-0,000289449;1,000717913;0,13693277;1,46E-05
11/02/2025;1,03176314;1,96040928;1,000710542;0,000710542;0,000399035;-0,000289449;1,000749287;0,13693277;1,46E-05
12/02/2025;1,03236261;1,961508;1,000581015;0,000581015;0,000415674;-0,000289449;1,000560454;0,13693277;1,46E-05
13/02/2025;1,03290015;1,96238618;1,000520689;0,000520689;0,000415674;-0,000289449;1,000447707;0,13693277;1,46E-05
14/02/2025;1,03386691;1,96218097;1,000935967;0,000935967;0,000415674;-0,000289449;0,999895428;0,13693277;1,46E-05
17/02/2025;1,034554;1,96520513;1,000664583;0,000664583;0,000415674;-0,000289449;1,001541224;0,13693277;1,46E-05
18/02/2025;1,03511068;1,96705938;1,000538087;0,000538087;0,000415674;-0,000289449;1,00094354;0,13693277;1,46E-05
19/02/2025;1,03559923;1,96828849;1,000471979;0,000471979;0,000415674;-0,000289449;1,000624846;0,13693277;1,46E-05
20/02/2025;1,0360327;1,96960387;1,000418569;0,000418569;0,000415674;-0,000289449;1,000668286;0,13693277;1,46E-05
21/02/2025;1,03666305;1,97147975;1,000608427;0,000608427;0,000417727;-0,000289449;1,000952415;0,13693277;1,46E-05
24/02/2025;1,03730378;1,97228498;1,00061807;0,00061807;0,000417727;-0,000289449;1,000408439;0,13693277;1,46E-05
25/02/2025;1,03800307;1,97490605;1,000674142;0,000674142;0,000417727;-0,000289449;1,001328951;0,13693277;1,46E-05
26/02/2025;1,03843098;1,97601119;1,000412243;0,000412243;0,000415674;-0,000289449;1,000559591;0,13693277;1,46E-05
27/02/2025;1,03903212;1,97743315;1,000578893;0,000578893;0,000415674;-0,000289449;1,000719611;0,13693277;1,46E-05
